Level and field of highest degree,Total,Total,S&E occupations,S&E-related occupations,Non-S&E occupations,Unemployed,Not in labor force
All degrees,"71,697,000","56,061,000","8,711,000","11,253,000","36,097,000","1,771,000","13,865,000"
S&E fields,"22,109,000","17,561,000","6,520,000","2,954,000","8,087,000","602,000","3,946,000"
"Biological, agricultural, and environmental life sciences","3,551,000","2,732,000","760,000","759,000","1,213,000","88,000","731,000"
Agricultural and food sciences,"472,000","372,000","53,000","60,000","259,000","15,000","86,000"
Biological sciences,"2,646,000","2,022,000","629,000","651,000","742,000","65,000","559,000"
Environmental life sciences,"432,000","338,000","77,000","49,000","212,000","8,000","86,000"
Computer and mathematical sciences,"4,355,000","3,557,000","2,105,000","524,000","927,000","156,000","642,000"
Computer and information sciences,"3,327,000","2,775,000","1,807,000","407,000","561,000","122,000","430,000"
Mathematics and statistics,"1,028,000","782,000","298,000","118,000","366,000","34,000","212,000"
Physical and related sciences,"1,165,000","954,000","477,000","166,000","311,000","18,000","192,000"
"Chemistry, except biochemistry","476,000","371,000","182,000","73,000","116,000","10,000","95,000"
"Earth, atmospheric, and ocean sciences","356,000","301,000","142,000","42,000","116,000","5,000","50,000"
Physics and astronomy,"301,000","257,000","148,000","43,000","66,000","3,000","42,000"
Other physical sciences,"32,000","26,000","5,000","8,000","13,000",D,S
Social and related sciences,"7,904,000","6,043,000","738,000","686,000","4,619,000","259,000","1,601,000"
Economics,"1,190,000","972,000","157,000","48,000","768,000","25,000","193,000"
Political and related sciences,"1,301,000","1,025,000","129,000","60,000","836,000","37,000","239,000"
Psychology,"3,373,000","2,502,000","247,000","422,000","1,833,000","126,000","745,000"
Sociology and anthropology,"1,283,000","945,000","116,000","82,000","747,000","43,000","295,000"
Other social sciences,"756,000","599,000","89,000","75,000","434,000","28,000","130,000"
Engineering,"5,134,000","4,274,000","2,440,000","818,000","1,017,000","80,000","779,000"
"Aerospace, aeronautical, and astronautical engineering","210,000","175,000","123,000","26,000","27,000",S,"33,000"
Chemical engineering,"334,000","277,000","148,000","51,000","78,000","4,000","54,000"
Civil and architectural engineering,"667,000","554,000","302,000","91,000","161,000","6,000","108,000"
Electrical and computer engineering,"1,743,000","1,459,000","896,000","330,000","233,000","35,000","249,000"
